training files: data/train.en , data/train.es
testing  files: data/dev.en , data/dev.es
#{'output_probs': 'probs', 'source_corpus': 'source_full.tmp', 'intermediate_log': '0', 'algorithm': 'LBFGS', 'source_test': 'data/dev.en', 'input_weights': 'initial.trans.log', 'target_test': 'data/dev.es', 'test_gradient': 'false', 'output_weights': 'theta', 'regularization_coeff': '0.0', 'target_corpus': 'target_full.tmp', 'output_alignments': 'alignments', 'model': 'model1'}

skipping gradient check...
reading initial weights...
132 log likelihood: -93954.1920206
	ec: -40129.191705
	ec: -40275.3859256
	ec: -40128.9604132
133 log likelihood: -93953.8857065
	ec: -40129.419632
	ec: -40151.7194608
	ec: -40129.09529
134 log likelihood: -93953.436732
	ec: -40125.1656416
	ec: -40233.8650519
	ec: -40124.993801
135 log likelihood: -93953.2067924
	ec: -40122.8884315
	ec: -40120.3369701
136 log likelihood: -93948.6770352
	ec: -40080.8335006
	ec: -40245.1771491
	ec: -40080.3839597
137 log likelihood: -93947.971839
	ec: -40077.2374385
	ec: -40222.6149267
	ec: -40077.0152465
138 log likelihood: -93947.6225523
	ec: -40074.1785452
	ec: -40166.452019
	ec: -40074.0236668
139 log likelihood: -93947.3776067
	ec: -40070.8460345
	ec: -40076.7936317
	ec: -40070.1428318
140 log likelihood: -93946.2456804
	ec: -40054.4118396
	ec: -40164.2953122
	ec: -40054.2451409
141 log likelihood: -93945.9792763
	ec: -40055.6723962
	ec: -40097.4840898
	ec: -40055.4727692
142 log likelihood: -93945.6573765
	ec: -40055.4140359
	ec: -40064.453476
	ec: -40054.8524035
143 log likelihood: -93944.7546926
	ec: -40042.0880987
	ec: -40139.662741
	ec: -40041.9338569
144 log likelihood: -93944.5079037
	ec: -40043.1313056
	ec: -40064.9085035
	ec: -40042.8253656
145 log likelihood: -93944.0126299
	ec: -40041.3643755
	ec: -40096.8597387
	ec: -40041.1845031
146 log likelihood: -93943.7266968
	ec: -40037.0081629
	ec: -40035.7940502
147 log likelihood: -93939.7517284
	ec: -39998.4472298
	ec: -40165.1625223
	ec: -39997.830088
